scenario_name,replicate_id,c_index,duration_sec,ghost_estimator,survival_model,error,variable,relevance_score,relevance_rank
Linear_Uncorr_RSF_RFGhost,0,0.826011417225118,0.9391040802001953,rf,rsf,,X1,1769.2777940323297,1
Linear_Uncorr_RSF_RFGhost,0,0.826011417225118,0.9391040802001953,rf,rsf,,X2,1679.0145810111687,2
Linear_Uncorr_RSF_RFGhost,0,0.826011417225118,0.9391040802001953,rf,rsf,,X3,1461.9147274852712,3
Linear_Uncorr_RSF_RFGhost,0,0.826011417225118,0.9391040802001953,rf,rsf,,X4,38.6550793692009,4
Linear_Uncorr_RSF_RFGhost,0,0.826011417225118,0.9391040802001953,rf,rsf,,X5,18.084619627137386,5
Linear_Uncorr_RSF_RFGhost,1,0.8381636629322942,0.7782776355743408,rf,rsf,,X1,1283.1424558092829,1
Linear_Uncorr_RSF_RFGhost,1,0.8381636629322942,0.7782776355743408,rf,rsf,,X2,1156.5878585732457,2
Linear_Uncorr_RSF_RFGhost,1,0.8381636629322942,0.7782776355743408,rf,rsf,,X3,1118.4559222864973,3
Linear_Uncorr_RSF_RFGhost,1,0.8381636629322942,0.7782776355743408,rf,rsf,,X4,12.957570103577336,5
Linear_Uncorr_RSF_RFGhost,1,0.8381636629322942,0.7782776355743408,rf,rsf,,X5,18.790411869798298,4
Linear_Uncorr_RSF_RFGhost,2,0.7837905236907731,0.7982485294342041,rf,rsf,,X1,1377.4250182896085,2
Linear_Uncorr_RSF_RFGhost,2,0.7837905236907731,0.7982485294342041,rf,rsf,,X2,1760.0066257465635,1
Linear_Uncorr_RSF_RFGhost,2,0.7837905236907731,0.7982485294342041,rf,rsf,,X3,1313.0637140721221,3
Linear_Uncorr_RSF_RFGhost,2,0.7837905236907731,0.7982485294342041,rf,rsf,,X4,19.15840685433095,5
Linear_Uncorr_RSF_RFGhost,2,0.7837905236907731,0.7982485294342041,rf,rsf,,X5,25.18821265362555,4
Linear_Uncorr_RSF_RFGhost,3,0.8140515786936611,0.8466293811798096,rf,rsf,,X1,1997.712307625543,1
Linear_Uncorr_RSF_RFGhost,3,0.8140515786936611,0.8466293811798096,rf,rsf,,X2,1352.7358193973866,2
Linear_Uncorr_RSF_RFGhost,3,0.8140515786936611,0.8466293811798096,rf,rsf,,X3,1196.9572465699941,3
Linear_Uncorr_RSF_RFGhost,3,0.8140515786936611,0.8466293811798096,rf,rsf,,X4,7.494101058473228,5
Linear_Uncorr_RSF_RFGhost,3,0.8140515786936611,0.8466293811798096,rf,rsf,,X5,51.00866429944614,4
Linear_Uncorr_RSF_RFGhost,4,0.7959752697296641,0.9027948379516602,rf,rsf,,X1,3095.6437849152503,1
Linear_Uncorr_RSF_RFGhost,4,0.7959752697296641,0.9027948379516602,rf,rsf,,X2,1332.6870837884694,2
Linear_Uncorr_RSF_RFGhost,4,0.7959752697296641,0.9027948379516602,rf,rsf,,X3,707.9106903971598,3
Linear_Uncorr_RSF_RFGhost,4,0.7959752697296641,0.9027948379516602,rf,rsf,,X4,32.41223747238116,5
Linear_Uncorr_RSF_RFGhost,4,0.7959752697296641,0.9027948379516602,rf,rsf,,X5,39.09538050409567,4
Linear_Uncorr_RSF_RFGhost,5,0.7900753768844221,0.7926957607269287,rf,rsf,,X1,1795.8424235803936,2
Linear_Uncorr_RSF_RFGhost,5,0.7900753768844221,0.7926957607269287,rf,rsf,,X2,1325.745118307141,3
Linear_Uncorr_RSF_RFGhost,5,0.7900753768844221,0.7926957607269287,rf,rsf,,X3,3902.884146767161,1
Linear_Uncorr_RSF_RFGhost,5,0.7900753768844221,0.7926957607269287,rf,rsf,,X4,27.369386824337397,4
Linear_Uncorr_RSF_RFGhost,5,0.7900753768844221,0.7926957607269287,rf,rsf,,X5,15.69752287101984,5
Linear_Uncorr_RSF_RFGhost,6,0.8317226383184344,0.7465307712554932,rf,rsf,,X1,2267.676711545597,1
Linear_Uncorr_RSF_RFGhost,6,0.8317226383184344,0.7465307712554932,rf,rsf,,X2,1403.7804117706764,2
Linear_Uncorr_RSF_RFGhost,6,0.8317226383184344,0.7465307712554932,rf,rsf,,X3,1337.3292337098878,3
Linear_Uncorr_RSF_RFGhost,6,0.8317226383184344,0.7465307712554932,rf,rsf,,X4,16.007019627723714,4
Linear_Uncorr_RSF_RFGhost,6,0.8317226383184344,0.7465307712554932,rf,rsf,,X5,12.987515103535628,5
Linear_Uncorr_RSF_RFGhost,7,0.7896722471115303,0.7060611248016357,rf,rsf,,X1,2600.8766866150213,1
Linear_Uncorr_RSF_RFGhost,7,0.7896722471115303,0.7060611248016357,rf,rsf,,X2,2469.8479123846987,2
Linear_Uncorr_RSF_RFGhost,7,0.7896722471115303,0.7060611248016357,rf,rsf,,X3,790.7722386417507,3
Linear_Uncorr_RSF_RFGhost,7,0.7896722471115303,0.7060611248016357,rf,rsf,,X4,20.586114478922592,5
Linear_Uncorr_RSF_RFGhost,7,0.7896722471115303,0.7060611248016357,rf,rsf,,X5,30.00167734024251,4
Linear_Uncorr_RSF_RFGhost,8,0.7628526232533615,0.7627124786376953,rf,rsf,,X1,1845.678095153757,2
Linear_Uncorr_RSF_RFGhost,8,0.7628526232533615,0.7627124786376953,rf,rsf,,X2,2432.2279024717773,1
